STNAME,CSAFP,CSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
New York,464,"Rochester-Batavia-Seneca Falls, NY",1160940,10573.806301,136,407,17,11.714645029028201,12.861971945442015,35.057797991282925,38.49134251319779,1.4643306286285251,1.6077464931802519
New York,532,"Syracuse-Auburn, NY",725169,7968.003603,56,150,8,7.722337827458151,7.028109271802497,20.684833466405763,18.825292692328116,1.1031911182083074,1.0040156102574995
New York,NA,non-CSA,1448474,60122.361076,165,340,74,11.39129870470578,2.7444031978621957,23.472979149090698,5.6551338622614935,5.108824873625623,1.2308232523745606
North Carolina,120,"Asheville-Marion-Brevard, NC",497065,6244.378996,63,127,12,12.674398720489272,10.089073715794042,25.549978373049804,20.338291458822912,2.4141711848550997,1.9217283268179128
North Carolina,172,"Charlotte-Concord, NC-SC",2323595,11009.019271,152,364,50,6.5415874969605285,13.806861107092343,15.66538058482653,33.063798966984294,2.1518379924212265,4.541730627333008
North Carolina,246,"Fayetteville-Sanford-Lumberton, NC",820003,9162.663476,29,54,31,3.536572427174047,3.1650185643028848,6.585341760944778,5.893482843874338,3.780473973875705,3.383295706668601
North Carolina,268,"Greensboro--Winston-Salem--High Point, NC",1608638,11295.160724,64,119,39,3.9785209599673763,5.666143365628483,7.39756240993934,10.535485320465458,2.42441120998012,3.4528061134298564
North Carolina,272,"Greenville-Kinston-Washington, NC",236691,2723.259376,10,14,1,4.224917719727408,3.6720703463392756,5.914884807618372,5.140898484874986,0.42249177197274085,0.3672070346339276
North Carolina,396,"Myrtle Beach-Conway, SC-NC",142820,2199.399191,8,12,0,5.601456378658451,3.6373569803681898,8.402184567987677,5.456035470552285,0,0
North Carolina,404,"New Bern-Morehead City, NC",193757,5237.082464,12,21,0,6.193324628271494,2.291352118758617,10.838318099475115,4.00986620782758,0,0
North Carolina,450,"Raleigh-Durham-Cary, NC",2019244,10692.37471,207,491,82,10.251361400603393,19.359590887364256,24.31603114829114,45.92057548645337,4.0609257722197025,7.669016680018689
North Carolina,468,"Rocky Mount-Wilson-Roanoke Rapids, NC",226109,4226.162458,13,15,13,5.749439429655609,3.0760767313597674,6.6339685726795485,3.5493193054151164,5.749439429655609,3.0760767313597674
North Carolina,545,"Virginia Beach-Norfolk, VA-NC",104596,2258.524422,15,27,10,14.340892577154003,6.641504450377823,25.813606638877204,11.954708010680081,9.560595051436001,4.427669633585215
North Carolina,NA,non-CSA,2315566,60877.904545,92,189,48,3.973110677907691,1.511221529183795,8.162151283962539,3.1045746632145357,2.0729273102127084,0.7884634065306757
North Dakota,244,"Fargo-Wahpeton, ND-MN",181923,4571.158976,7,10,8,3.8477817538189236,1.5313403092633986,5.496831076884177,2.1876290132334266,4.397464861507341,1.7501032105867411
North Dakota,NA,non-CSA,580139,174124.476207,22,31,26,3.7921946292181703,0.1263463958613509,5.343546977534695,0.17803355780463082,4.4816845618032914,0.149318467836142
Ohio,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",1641637,4468.361977,62,134,50,3.7767179955130157,13.875330673551654,8.162584054818453,29.98861790735357,3.045740318962109,11.189782801251333
Ohio,184,"Cleveland-Akron-Canton, OH",3528652,15398.026572,127,227,62,3.599108101337281,8.247810159708301,6.433051488217031,14.742148868140035,1.7570448998654444,4.026489999227675
Ohio,198,"Columbus-Marion-Zanesville, OH",2467182,20630.605628,237,541,158,9.606101211827907,11.487786848018748,21.927851289446828,26.223175885139845,6.404067474551938,7.658524565345832
Ohio,212,"Dayton-Springfield-Kettering, OH",980579,5458.469645,43,81,14,4.385164275392396,7.877665865447896,8.260425728064746,14.839324072122782,1.4277279036161288,2.5648214445644313
Ohio,338,"Lima-Van Wert-Celina, OH",130626,2102.182027,7,9,10,5.358810650253395,3.32987339349943,6.8898994074686515,4.281265791642125,7.655443786076279,4.756961990713472
Ohio,360,"Mansfield-Ashland-Bucyrus, OH",216132,3418.63854,8,8,9,3.701441711546648,2.340112856739748,3.701441711546648,2.340112856739748,4.164121925489979,2.6326269638322164
Ohio,425,"Parkersburg-Marietta-Vienna, WV-OH",59911,1636.805233,3,5,0,5.007427684398524,1.8328387150262733,8.345712807330873,3.0547311917104554,0,0
Ohio,534,"Toledo-Findlay-Tiffin, OH",789169,6998.546948,33,44,31,4.181613824161872,4.715264503502477,5.5754850988824955,6.2870193380033035,3.928182683303576,4.4294908972296
Ohio,566,"Youngstown-Warren, OH-PA",426657,2666.610804,5,5,5,1.1719015508945125,1.8750392792603416,1.1719015508945125,1.8750392792603416,1.1719015508945125,1.8750392792603416
Ohio,NA,non-CSA,1448555,43045.453893,17,32,10,1.1735833295939746,0.39493136818251834,2.2090980321768936,0.743400222461211,0.6903431350552792,0.23231256951912846
Oklahoma,206,"Dallas-Fort Worth, TX-OK",47995,2341.975631,3,4,4,6.250651109490573,1.2809697762393157,8.334201479320763,1.707959701652421,8.334201479320763,1.707959701652421
Oklahoma,309,"Joplin-Miami, MO-OK",31127,1219.409732,2,2,2,6.425289941208597,1.6401378039846575,6.425289941208597,1.6401378039846575,6.425289941208597,1.6401378039846575
Oklahoma,416,"Oklahoma City-Shawnee, OK",1481542,16315.597777,91,103,112,6.142249089124709,5.577484885554249,6.952216001976319,6.312977397935029,7.5596911866150265,6.864596782220613
Oklahoma,538,"Tulsa-Muskogee-Bartlesville, OK",1118150,19414.02451,67,110,80,5.992040423914501,3.4511133930777143,9.837678307919331,5.666007063261918,7.1546751330322405,4.120732409645032
Oklahoma,NA,non-CSA,1278157,138371.667499,74,82,127,5.789586099360251,0.5347915605666513,6.415487299291088,0.5926068644116947,9.936181548902052,0.9178179485400638
Oregon,140,"Bend-Prineville, OR",222096,15530.981545999999,32,72,19,14.408183848425905,2.0603977865289265,32.418413658958286,4.635895019690084,8.55485916000288,1.22336118575155
Oregon,366,"Medford-Grants Pass, OR",308431,11452.678612,38,69,19,12.320421747489714,3.3180010796936177,22.371292120441847,6.024791434180516,6.160210873744857,1.6590005398468088
Oregon,440,"Portland-Vancouver-Salem, OR-WA",2648793,24045.399437,411,904,172,15.516501289455233,17.092666772986572,34.12875222790154,37.59554930116756,6.493523653981267,7.153135486505331
Oregon,NA,non-CSA,1038417,197578.717919,157,278,138,15.119166962790478,0.7946199957849925,26.77151857105575,1.4070341326638722,13.289458859013287,0.6984557924734329
Pennsylvania,107,"Altoona-Huntingdon, PA",166973,3627.1565090000004,5,5,9,2.9944961161385373,1.3784902822896081,2.9944961161385373,1.3784902822896081,5.390093009049367,2.4812825081212946
Pennsylvania,146,"Bloomsburg-Berwick-Sunbury, PA",123566,2439.818123,7,22,12,5.664988750950909,2.8690663185142675,17.804250360131427,9.017065572473411,9.711409287344416,4.9183994031673155
Pennsylvania,240,"Erie-Meadville, PA",354357,4691.400175999999,10,16,12,2.8220128288703203,2.1315597955504706,4.515220526192512,3.410495672880753,3.3864153946443842,2.5578717546605647
Pennsylvania,276,"Harrisburg-York-Lebanon, PA",1225529,7395.0255130000005,62,122,41,5.059039810563438,8.384014347348472,9.954884788528055,16.497576618976026,3.345494068275822,5.544267552278828
Pennsylvania,306,"Johnstown-Somerset, PA",203639,4565.424484,4,5,6,1.9642602841302501,0.8761507312230027,2.4553253551628127,1.0951884140287533,2.946390426195375,1.314226096834504
Pennsylvania,408,"New York-Newark, NY-NJ-CT-PA",226080,2986.820699,8,22,11,3.5385704175513095,2.678433292858334,9.7310686482661,7.365691555360418,4.86553432413305,3.682845777680209
Pennsylvania,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",4556149,7802.073797999999,228,485,50,5.0042261567828445,29.222999666889336,10.644954763331928,62.162959817725124,1.0974180168383432,6.408552558528363
Pennsylvania,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",2422450,15058.990905,135,360,47,5.572870441082375,8.96474410879525,14.860987842886335,23.905984290120664,1.9401845239323823,3.121059060099087
Pennsylvania,524,"State College-DuBois, PA",241640,5836.217429,22,48,21,9.104452905148154,3.7695648367524175,19.86426088395961,8.22450509836891,8.690614136732329,3.5982209805363987
Pennsylvania,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",155027,2000.245529,4,6,0,2.5801957078444397,1.999754501138545,3.8702935617666596,2.9996317517078177,0,0
